product,total_sale,profit,prediction
Kees / Alphabet You Can't Buy Happiness Barrel 20L,13595.79,5405.790000000001,0
White Hag Silver Branch 0.375,4255.02,711.02,0
De Moersleutel Motorolie Wedzone Sliwki 0.375,1147.38,247.38,0
Sierra Nevada Ovila Abbey White Ale  0.355,4059.64,1716.6399999999999,0
De Molen Cliffhanger,1510.1100000000001,618.11,0
Pikes Peak Gold 0.355,1991.96,1001.96,0
Labietis Pelasku Velns 0.5,4254.4400000000005,1271.44,0
Kombucha Live Brew Fall In Lavender 0.33,7637.36,3177.3600000000006,0
AF Brew Annual Farewell Freak Show 0.33,4998.71,2338.7099999999996,0
Wild Beer Currant Affair Barrel,14860.58,6548.49,0
Kombucha Live Brew Gaba 0.33,238.87,58.870000000000005,0
Naparbier Aotearoa / Hoppy Pilsner / 5.4% / IBU45 / Barrel,22421.739999999998,9806.54,0
"Siren Calypso / berliner weisse / 4% / 0,but.",244.49,3.39,0
"Firestone Walker Stickee Monkee 0,355 KOROBKA",1950.7199999999998,-295.28,0
Cider Kerisac Breton Brut / cider / 4.5% / 0.75,540.0,539.0,0
Omnipollo Perickles Barrel 30L 2ShT,29443.739999999998,13316.98,0
Beerbliotek Colonial Hipster IPA,2011.11,731.11,0
Amundsen Dessert Pecan & Mapple Pie 0.33,2589.84,1097.8400000000001,0
Jaws Open Minded Pale Ale/ NEIPA / 0.but,22295.480000000003,13007.480000000001,0
Wild Beer Side Project Rosa Rouge 0.33,3681.2200000000003,1211.22,0
Cool Brew Matcha Latte 0.25,559.5,229.26,0
Connecticut Valley Coffee Stout Obsession 0.473,2840.0,1284.0,0
Welde Citra Helles 0.33,2818.06,838.06,0
Axiom Tenzing 0.33,922.88,502.88,0
Melody Brew Etude #3 0.33,2472.7099999999996,1332.71,0
Steppe and Wind Rhodomel b/a,12344.470000000001,10179.470000000001,0
Upland Brewery Peach 0.5,2450.0,1131.0,0
CoolHead Passion Is My Passion Is My Passion 0.33,1675.0,595.0,0
Zagovor Jungle In A Big City 0.5,12512.73,5372.73,0
AF Brew Euphoria 0.5,810.0,360.0,0
"Jaws Oatmeal Stout / stout / 5.2% / 0,5 but",563738.1199999998,253779.63999999998,2
Rojal Porter,1500.19,590.1899999999999,0
Double A Saison Barrique / 6.3% / IBU/ 0.375l,2024.06,774.06,0
"Kerisac / Bouche Breton Brut Traditionnel / cider brut / 5,5% / 0,75 / but",2825.0,1181.5,0
"Brekeriet Berliner Spazz BW 5,3% / 0,33",1857.38,493.38,0
"Naparbier Oneka 6,1% 0,33",24822.420000000002,11087.420000000002,0
Big Village Way Without End Barrel,28609.309999999998,16701.809999999998,0
"Amundsen Hoptropolis 0,33",3195.5399999999995,1083.54,0
MIRAGE Pure Shores / Most Wonderful Time Barrel30,126324.56999999999,71612.46999999997,3
CRAK Cantina BRAmerican Barleywine BA 0.375,1050.0,470.0,0
Red Button Not For Resale 0.33,4889.91,2039.91,0
Firestone Walker Lil Opal 0.375,1559.67,245.67000000000002,0
18th Street Brewery Pins And Needles 0.473,1926.1599999999999,-95.84,0
Bakunin Stik'N'Muve Barrel20,10992.24,4508.49,0
Local Beer,19007.870000000003,21377.870000000006,0
Wild Lab Moon Rockets / Strange Days 0.5,17339.71,6889.709999999999,0
Big Village Stereogram 0.5,190.0,20.0,0
Aleksander Grin,1330.37,590.37,0
Amundsen Dessert in a Can - Chocolate Marshmellow 11.5% / 0.33,5584.43,1663.43,0
XP Brew Hyperplane 7%,13446.800000000001,7231.799999999999,0
Bokal LJuBOJ,630.0,630.0,0
ZAGOVOR EGOR TAPTAKEOVER BarrelI,151956.0,75383.44999999998,3
"Lost & Found R22. APA / Fomosaic 5,2% 0,44",5349.41,1994.4099999999999,0
De Molen Mout & Mocca Barrel 30L,24939.870000000003,11557.369999999999,0
Naparbier Pumpkin Tzar Barrel,35438.770000000004,12219.9,0
"Founders KBS / imperial stout / 12,4% / 0,355 / but",960.0,318.0,0
Brewski Pink Pony Reloaded 0.33,3298.18,1154.1799999999998,0
Hanssens Cassis 0.375,2080.0,666.0,0
ZAGOVOR Trafaret 0.5,13315.17,5155.17,0
Garage Double Soup Barrel20,18648.98,7160.23,0
Zagovor Algorhitm Maple & Caramel Barrel,11627.05,5283.3,0
"Jaws I am Sourry Baby / low alco / 0,5% / 0,5",3439.34,1543.3400000000001,0
Omnipollo Aon Pecan Mud Cake 0.33,2784.5,559.5,0
Ostrovica Minor 6th 0.5,9981.179999999998,4521.18,0
Jaws Stout MLK Metter Barrel,9313.42,5186.62,0
"Jaws Gordiev uzel / Oud Bruin / 6% / 0,5 but",198.0,77.05,0
Omnipollo Fatamorgan,5735.58,2022.5400000000004,0
GARAGE Montessori,1819.7,587.7,0
Amager Hr. Frederiksen / RIS,2251.65,566.65,0
"Bakunin & De Molen Terpenie i Trud 10,6% 0,33",8878.66,2938.66,0
"Flying Monkeys Smashbomb Atomic IPA 0,473 Can",5048.72,2078.7200000000003,0
AF Brew Serotonin Syndrome Barrel,34945.46,17361.46,0
Zagovor Fractal 0.5,18143.979999999996,7249.9800000000005,0
De Molen Different & Unusual 0.33,689.73,-99.27000000000001,0
"Straffe Hendrik Brugs Quadrupel Heritage / quadrupel / 11% / 0,75 but",3526.8099999999995,-946.1899999999999,0
Bristol Brewing Old No.BARREL AGED Barley Wine 0.355 surguch,1623.37,623.37,0
Brabant Lambic Magerat  0.75,4319.36,1461.3600000000001,0
Anderson Valley Blood Orange Gose Barrel30,21632.52,12707.52,0
Uiltje Sequence Series Cask Ferment #3 0.33,2549.87,709.87,0
Brewdog Elvis Juice Barrel20,76921.05,39393.3,0
Jaws Peach Matter 0.5,6215.17,2767.5699999999997,0
"Brewdog Cocoa Psycho / imperial stout / 0,33",4257.41,1304.4099999999999,0
Jaws Saison Raspberry 7.7%,7799.910000000001,4033.35,0
"Mikkeller Single Hop Citra / IPA / 6,9% / 0,33",1681.68,511.2799999999999,0
"Rodenbach Caractere Rouge / sour red/brown / 7% / 0,75 / but",28783.760000000002,7161.620000000003,0
"Boon Framboise / lambic style - fruit / 5% / 0,75 but",4559.69,1100.69,0
Omnipollo Amurga,1788.73,-724.25,0
"To Ol Mr. Orange 9% 0,33",12460.689999999999,3308.7899999999995,0
"Bakunin & Pinta The Wave NE Pale Ale 4,7% 0,5",7220.0,3020.0,0
Double Dutch Indian Tonic Water non alcoholic,3419.8799999999997,1424.9400000000003,0
"La Calavera Blue Blood Fuck You!! / RIS BA / 11,8% Barrel",20134.66,7714.66,0
La Branche Cider Black Currant 0.375,6477.599999999999,3786.6,0
AF Brew x Puhaste - Elementary Operations 20L,9058.23,3983.23,0
Lambiek Fabriek Oude Geuze Brett-Elle 0.75,2999.69,837.69,0
Kees Zeeuwse Bolus Stout 0.33,681.79,227.79000000000002,0
Fantome Pissenlit Barrel20,16520.460000000003,5432.46,0
To Ol Mr. Pink 200.33,352.9,37.9,0
Kerisac Cuvée Spéciale - Brut - Cidre Bouché Breton,1.66,-0.34,0
Frontaal Rhodesian BA Blend 200.33,3656.7799999999997,1136.78,0
Kombucha Live Brew Green Greeb 0.33,881.38,431.38,0
Brewski The Lift Off Game 0.33,1615.15,-49.849999999999966,0
Mikkeller Hop Burn Low 0.33,5243.23,1805.2299999999998,0
AF Brew Another Million Minutes on Cherry 0.375,1384.6399999999999,384.64,0
Zagovor Criminal Damage 0.5,4976.49,1831.49,0
Founders Rubaeus Fruit Beer / 5.7% / IBU/ 0.355l zh.b,715.97,130.97,0
Spontanist WOSTOK Pear Rosemary,59961.46000000001,23084.87,0
Boon & Mikkeller Oude Geuze 100% Lambic/ 6.4% / 0.75 but,7279.24,3015.2400000000002,0
"Verhaeghe Barbe Ruby / fruit beer / 7,7%",1313550.3499999996,627131.8999999999,1
Mikkeller Nelson Sauvin Brut Dry Hopped! Bière de Champagne / 9.0% / 0.75l,19692.73,8133.370000000003,0
Schneider Weisse Aventinus Weizen-Eisbock / eisbock / 12% / 0./ but,2157.5,731.5,0
Hausmann Ambrosia / Mead / 8%,28029.78,15997.480000000001,0
BrewDog Abstrakt AB:24,10276.79,2716.79,0
Nogne O Vik Sikret/Vic Secret IPA,2655.66,1151.6599999999999,0
"Lindemans Oude Kriek Cuvée René / 0,375",356.37,25.37,0
"Jaws Russian Imperial Stout / 0,33",1000.0,523.28,0
"Kees Barrel Project 18.11,2% / 0,33",1585.37,457.37,0
Pohjala Virmalised / IPA / 0.but,3865.0899999999997,1030.09,0
Big Village Microcosm 0.5 / Disco Decadence 0.5,33295.9,15145.899999999998,0
Big Village Spicy Day Barrel30,13954.24,8604.24,0
Omnipollo Anagram Blueberry Cheescake 0.33,1500.0,468.6,0
Assorted lemonade BICEP 0.75,1529.48,149.48000000000002,0
Cider Hogan's Killer Sharp Cider 0.5,3796.58,1191.58,0
Dugges Banana Toffee Chocolate Barrel,20331.820000000003,6990.26,0
Ostrovica Keep It Simple Stupid 0.5,9252.94,4392.9400000000005,0
Garage Eight Barrel20,15517.08,6209.83,0
Bottle Share Rate My Batch #3 Barrel,5952.620000000001,2784.62,0
Omnipollo Squares 0.33,3053.7,1221.7,0
Kees Barrel Project 17.Barley Wine Armagnac Barre,6098.699999999999,2150.7,0
"Stone IPA / IPA / 6,9% / 0.ban",5033.759999999999,2427.2799999999997,0
Cider Trabanco Sidra Avalon / 5.5% / 0.33l,47797.28,15901.279999999999,0
Bakunin The sky over Tagil 0.5,5531.92,2531.92,0
Norsk Gardzol PIDOR,8312.96,1357.96,0
Kees Barrel prodzhekt Level 2,2770.98,705.98,0
Kees Handred,1427.05,531.05,0
Kona Big Wave Barrel,19849.25,10635.5,0
Aegir Tors Hammar Barleywine 0.33,1223.94,447.94,0
Cider sparkling pear Kerisak Poiret 0.75,2.67,548.67,0
AF Brew It’s Over 9000 0.33,44584.329999999994,20034.329999999998,0
Alvinne Cuvee Sofie 0.33,1260.0,524.0,0
Zagovor Patch Barrel dekabr',16890.31,8689.06,0
AF Brew x Toksovo - Pomme De Sodome 0.33,6734.89,2234.89,0
Brewski Strawberry Pie 0.33,4162.7,1260.7,0
Cider necarbonated Artizanal' Le Klo Fleri brjut Barrel,24297.120000000003,13587.119999999999,0
AF Brew Fuck The Dust DDH Mosaic Barrel,9400.560000000001,3720.56,0
Cider Toksovo Rowan bonfires / Hot Point 0.33,14898.249999999998,7568.25,0
"Bottle Share & Selfmade Nomisugi / session IPA / 5% / 0,5",434.3,59.3,0
"De Molen Verdeel & Heers BA / imperial stout / 9,8% / 0,33",2210.0,734.0,0
John Kepplers / cider / 6% / 0.5 zh.b.,196.43,96.43,0
Kees Barrel prodzhekt 18.01,1622.8,464.79999999999995,0
Brewski Pineapple Unplugged APA/Pajnepl Anplagged,15536.759999999998,6338.759999999999,0
XP G.see Rave,251.2,86.2,0
Fuller's Flora and Griffin,6214.9,2522.9,0
Amager Maureen The Maverick Moonshiner 12%,2414.45,464.45000000000005,0
Jaws Somnambula,9015.07,4531.07,0
"Founders Curmudgeon's Better Half / Old Ale / 12,7%",4618.58,1341.98,0
Fruktstereo Yellow Cidermarine 0.75,2959.29,373.77,0
Cool Head Lemon Sherbet 0.33,2638.49,898.49,0
De Molen Romeo & Julia,1480.0,652.0,0
To Ol Fogged Up 0.33,2447.95,760.9,0
Mango nectar Foco 1 L,2735.5,455.44,0
Naparbier Aesthetics 9.1% weizenbock BA whisky Barrel10,30588.31,10192.060000000001,0
Dieta Lollipop Watermelon Barrel20,31769.14,20410.39,0
Sierra Nevada Southern Gothic 0.355,454.76,-58.239999999999995,0
Kerisac Cidre D'automne / 2.0% / 0.75l,12123.619999999999,5764.119999999999,0
XP Zavtrak Pivoljuba Caravan Ed.,0.0,-110.0,0
"Fantome / Fantome Saison / saison / 8,0%",22887.659999999996,11131.410000000002,0
"Bottle Share Temnyj Ale 3 Wrong Way Milky Way / milk stout / 6,5% / 0,5",492.14,232.14,0
"Cigar City Jai Alai IPA 0,355",2841.32,-10.680000000000007,0
"AF Brew Eat The Dust DDH Amarillo 8% 0,5",21948.24,7598.240000000001,0
Steppe and Wind Ambrosia Metheglin 0.b/a,3364.0,1754.0,0
"Ta Ta Theatral 7,9% 0,33but",3824.96,1864.96,0
Ostrovica Sour Cruise Lacto Peach 0.5,6179.52,2939.52,0
Amundsen Pecan Psychosis BA 0.33,3768.67,1122.67,0
TATA Charity,9891.880000000001,5953.88,0
FFF Sector Gose / Acid Mango / 0.33,9779.32,3629.32,0
Cider Savoie Cidre of Apples and Pears Demi-sec 0.75l,5735.57,1483.07,0
Jaws Dabl IPA Hyper IPA,7073.47,3097.7200000000003,0
"Harviestoun Raspy Engine / fruit porter / 5,3% / 0,but.",10648.66,4654.26,0
Cider Kerisac Cidre Breton Brut / 4.5% / 0.25l,47613.58999999999,19271.589999999997,0
"Mikkeller Hallo Ich Bin Berliner Weisse Blueberries / 3,7%",13434.42,6399.380000000002,0
"To Ol Mr. Blond 4,5% 0,33",7542.5,2952.1400000000003,0
Red Button Tale Of Us Can 0.5,10450.53,910.53,0
"De Struise Pannepot Special Reserva 200,33",7586.7300000000005,1462.73,0
De Molen Mooi & Meedogenloos Amarene Cherry Bourbon BA 0.33,7187.68,1859.1299999999999,0
AF Brew x Amundsen - White Crow Omen 20L,18914.87,6743.62,0
WildLab Killer Loop NE Triple IPA 0.33,3898.69,1518.69,0
Weihenstephaner Original Helles Alkoholfrei 0.5,21867.6,9530.300000000001,0
Stamm Beer reFresh 0.5,4569.87,1569.87,0
"BrewDog Pulp Patriot DIPA 9,5%",15621.0,6871.000000000001,0
Zagovor Kinetic Art Barrel30,32254.17,16336.919999999998,0
To Ol Gose To Hollywood Barrel30,26466.05,11253.86,0
North Brewing Micro IPA 0.44,3651.1099999999997,1306.1100000000001,0
Amundsen Double Apocalypse 0.33,1370.74,210.74,0
Omnipollo Bianca Lemon Coconut Tart Lassi Gose 0.5,1622.69,-237.31,0
Garage Passata Stix 0.44,3670.46,940.46,0
BBN IPA Citra Wai-iti 0.44,1393.9299999999998,457.92999999999995,0
Zagovor Patch / Wasted Youth Barrel,21482.14,11953.39,0
Petrus Red Barrel,44987.69,21639.69,0
Pohjala Must Kuld Porter 0.33,40373.219999999994,15927.220000000003,0
Kees Caramel Fudge Stout/Karamel Fudzh Stout,4628.43,1173.43,0
"To OI Garden of Eden / fruit beer / 6,4% / 0,but.",997.1100000000001,202.11,0
"Kees New England India Pale Ale / 6,4% / 0,33",3319.48,1189.48,0
"To Ol Liquid Confidential / imperial stout / 12,2% / 0,375",5664.73,2402.8900000000003,0
Scamorza smoked,19217.46,12710.260000000007,0
Nogne O Craic Blackberry Porter/Krejk Blekberri P,2698.04,948.04,0
AViBiSi Brajni Melon Goze Barrel l,13923.32,7538.969999999999,0
Mikkeller Hallo Ich Bin Berliner Weisse Raspberry,50210.840000000004,25800.72,0
Monk's Kafe GRAND KRJu,2239.6800000000003,733.6800000000001,0
"Lost & Found R21. 64Bit IPA 6,4% 0,44",4120.84,2320.84,0
"Lost & Found R20. OA+S IPA 6,2% 0,44",6277.72,2017.72,0
To Ol Ms. Teal 0.33,1924.49,565.49,0
NoName Brew Molodost' / Lager / 0.33,2642.67,1522.67,0
BAKUNIN Dancer Barrel20,22007.469999999998,11517.470000000001,0
Huge Arker Bourbon Barrel Imperial Stout Barrel30,22818.690000000002,11828.190000000002,0
Bakunin Rollin Barrel20,10785.31,5845.31,0
Pohjala Meri 0.33,2838.3900000000003,1230.3899999999999,0
Lervig Dark Orbit Porter Barrel30,25296.42,11204.42,0
To Ol 1 Ton Of Pomegranate 0.5,2955.82,880.72,0
Founders Mas Agave 0.355,4636.45,1746.45,0
Zagovor x Fuerst Wiacek - Twisted Values Barrel 2,36194.78,18863.53,0
Zagovor Spacebar 0.5,2836.1299999999997,496.12999999999994,0
Cheese Stilton,335868.8899999999,211213.8900000001,3
Sierra Nevada Narwhal Imperial Stout / 10.2% / IBU60 / 0.355l,3312.5600000000004,1620.56,0
Selfmade Banana Trip 0.33,36520.92,17788.420000000002,0
BrewDog Elvis Juice Barrel,190316.96000000005,101152.02999999998,3
"De Molen Jan & Charlotte / Black Vermont IPA / 7,5%",3545.5499999999997,949.55,0
Nogne O Gjertruds Vintervarmer Doppelbock/G'ertruds,3124.24,1348.24,0
Guineu Cervesa Aging Fine / IMP Saison / 11%,2194.12,818.12,0
Verzet Oud Bruin Cherry,1167.12,-822.88,0
"AF Brew Eat The Dust DDH Citra 0,5 Can",33711.03999999999,13486.04,0
"Birra Del Borgo Etrusca 0,33",630.0,243.05,0
"Alefarm Farmscape 0,375",1849.71,285.33,0
Amundsen Double Apocalypse 0.5,5496.439999999999,1646.44,0
"Cascade Kriek Ale 0,75",5458.8099999999995,1158.81,0
Brewfist Madame Galaxie Barrel,17787.78,5213.280000000001,0
Oka River Cafe Negro 30L / Meshchera Wildberries 20L BarrelI,22534.690000000002,12104.69,0
De Molen Said & Done BA 0.33,7501.13,1809.13,0
Sweet Water Hop Hash Barrel20,14372.14,6497.14,0
ZAGOVOR Hops On Acid Barrel30,13054.99,5317.240000000001,0
AF x XP - Million Minutes of Nothing / Wild Ale BA Wine 0.375,2089.29,889.29,0
Gaffels Sonnen Hopfen Barrel30,34226.34,20225.86,0
"Naparbier Fanatic Centennial, Simcoe, Topaz 6% oat cream IPA 0.44",4357.349999999999,847.35,0
Founders Green Zebra 0.355,6249.389999999999,2169.3900000000003,0
Welde Badisch Gose 0.33,3616.75,1328.75,0
Cider Jolter Press Chiel Jersey 0.5,1900.0,660.0,0
Zagovor CoolShruggie 0.5,10669.66,3469.6600000000003,0
Zavod Empress Maria 0.5,8803.439999999999,3028.4399999999996,0
Cider Holy Jack 0.75,13999.730000000001,5359.7300000000005,0
Pohjala Must Kuld / porter,46149.08000000001,20982.93,0
Aegir Lynchburg Natt Imperial Barrel Aged Porter,1085.88,295.88,0
White Hag Blek Sou Nitro Kofe Stout,49997.63,25290.38,0
"SpaceLift / New England IPA / 6,9%",5664.82,2624.8199999999997,0
Brewski Halo Milkshake Berliner Barrel 20L,15864.349999999999,5903.099999999999,0
To Ol Santa Gose 0.33,10487.2,3585.12,0
Tilquin Stout Rullquin 0.75,5289.59,1809.59,0
XP G.See Warp 0.5,3358.77,1318.77,0
Foco guanabana nectar 330ml,407.95,67.93,0
Frontaal North 200.33,1539.76,339.76,0
Verzet Oud Brjun Superboil Barrel,22054.24,7747.490000000001,0
FFF Keep In Touch / VSE Can 0.33,29290.35,11895.550000000001,0
Kombucha Live Oolong Island 0.33,1801.9,661.9,0
4 Brewers Santa muerte Barrel,12921.66,7251.66,0
Maxlrainer Helles 0.5,2457.77,1287.77,0
Lapochka Guava Kaffir Lime Leaves 0.33,5328.98,2628.98,0
"Weihenstephaner HEFE WEISSBIER / 5,4%",919428.2699999994,454350.7199999999,2
COCONUT BAY / XP Brew Barrel G.see Farm 1 / Negative Sunrise 1,8707.02,5072.400000000001,0
"Bakunin & White Stork Boys Don't Cryo 4,2% 0,33",6012.8,2312.8,0
"Dieu du Ciel Immoralite 0,341",2498.52,398.0799999999999,0
ZAGOVOR Stoner Chocolate 30L,15323.48,8423.48,0
Kona Koko Brown 0.355,4163.860000000001,2003.8600000000001,0
"Ayinger Urweisse / hefeweizen / 5.8% / 0,5",11441.97,5526.97,0
Boulder Beer Mojo IPA 0.355,3513.41,1701.4099999999999,0
Cider Legacy Medium Dry 0.5,3165.6099999999997,1205.6100000000001,0
Lexington Kentucky IPA 0.33,1365.0,713.0,0
Cider Holy Jack h4 0.33,7881.59,2981.5900000000006,0
"Poppels Session IPA / 4,2% / 0.33",14407.470000000003,4777.469999999999,0
8 Barrels in assortment,2859.8,809.8,0
"Mango from Myanmar, puree 3.1 kg, can",1519.66,-0.34,0
Birra del' Borgo Perle ai Porchi,2283.96,756.96,0
"Pohjala OO 0,33",7135.33,2868.33,0
"Araeta Sagardotegia Amalur Apple 6% 0,75",7674.79,3474.79,0
Red Button Pure Shores 0.5,28723.010000000002,14173.01,0
Red Button / Busy Doing 0.33,7609.109999999999,2899.11,0
GARAGE Gold On Blue 0.44,1490.0,440.0,0
Stillwater On Fleek 0.355,6114.26,2226.26,0
Garage x Flying Inn - Fluoro 0.44,2528.8900000000003,1078.8899999999999,0
"RED ROCKET Zagovor Patch gose5,5% Barrel",49926.14,22240.39,0
Almagaver x Zavod - Black Paradise 0.33,3586.11,1738.1100000000001,0
Sierra Nevada Summer Fest 0.355,1799.67,743.67,0
Firestone Walker Mind Haze IPA Barrel20,14696.849999999999,6941.6,0
18th Street Brewery Under Crown 0.473,2750.5699999999997,662.57,0
Mikkeller Vesterbro Pilsner 0.33,2707.15,699.15,0
Uiltje Mosaic Mammoth 0.44,1577.04,548.04,0
Mead Steppe & Wind Black Currant Mead Barrel,14484.13,9061.13,0
Bowl Cut Love Age 0.5,914.21,374.21,0
Selfmade Insider Cider 5.5%,11728.2,7088.2,0
Omnipollo Original Ice Cream Vanilla Pale Ale / 0.33,450.0,170.0,0
Amager Arctic SunStone / APA,2098.6400000000003,726.64,0
WOSTOK Tarhun Imbir',6298.599999999999,3132.59,0
Saldens Amerikan Pejl Ale / NEIPA Barrel,15161.75,9461.75,0
"Fantome Tous les D'iapes / belgian strong / 8% / 0,75",1429.6399999999999,259.64,0
Jaws Pumpkin Ale Barrel,16775.17,9504.89,0
"De Molen Good, Bad & Ugly Barrel",17471.2,6980.82,0
Brewski Mangofeber DIPA Barrel 20L,29628.719999999998,11793.969999999998,0
Anderson Valley Framboise Rose Gose 0.355,6952.06,3228.06,0
Brewski Meerkat Madness Barrel20,14484.0,5574.0,0
Kees Barrel Project 18.0.33,1869.31,711.31,0
Mobius Pint Banana Skinny / Morning Pleasure 0.5,11125.51,5275.509999999999,0
Omnipollo Maz Can 0.33,6939.290000000001,2536.29,0
La Debauche Demi Mondaine 0.33,2323.18,723.18,0
Nogne Belgian Triangle Whiskey Barrel Barrel20,20269.309999999998,6409.31,0
Omnipollo Nebuchadnezzar Can 0.33,4553.02,1814.02,0
Sabotage x Johoho Space Bastards Barrel,14048.3,6880.55,0
Brewski Scarecrow 0.33,2857.88,988.88,0
Ostrovica Honey Gems 0.33,6813.68,2613.6800000000003,0
4Brewers Magija Barrel,15307.859999999999,8107.859999999999,0
Sabotage T-REX Barrel,15881.85,8681.85,0
Cider Savoie Cidre of Apples and Pears Brut / 4.5% / 0.75l,108826.19999999998,34055.200000000004,0
"Brasserie Rochefort / Rochefort Trappistes 8 / belgian strong ale / 9,2% / 0,but.",6863.61,3300.6099999999997,0
